value,dataset
41333606613.37706,gdp
45216647234.66356,gdp
52040887850.46729,gdp
63830877642.53684,gdp
88963890935.88799,gdp
97303017888.84338,gdp
105059356494.42484,gdp
110349850883.2301,gdp
118491633469.73026,gdp
134898330114.7336,gdp
149985515320.33426,gdp
176893068617.20654,gdp
194038397881.4962,gdp
177265418961.89316,gdp
193518998163.39615,gdp
180637129503.8472,gdp
182475517627.30835,gdp
189487162519.85175,gdp
236154038684.2917,gdp
299871835376.0419,gdp
311420509067.6277,gdp
325966686052.58057,gdp
325518458076.53326,gdp
312128302417.08826,gdp
322802490487.7205,gdp
368166023166.0232,gdp
401341880620.7279,gdp
435642611296.5858,gdp
399674421759.4791,gdp
389652212056.6487,gdp
416167815092.9082,gdp
379629301675.1082,gdp
395788696012.0592,gdp
467739079790.332,gdp
614659980082.5154,gdp
695692898676.5597,gdp
748417562769.6357,gdp
855007458585.2241,gdp
1056112427190.3768,gdp
928762122698.0496,gdp
1148890200292.423,gdp
1398701323029.6284,gdp
1547649835732.891,gdp
1577301840200.0142,gdp
1468597690006.215,gdp
1351768945139.1135,gdp
1207580901578.7236,gdp
1326882104817.0027,gdp
1429733668185.9053,gdp
1394671325960.568,gdp
1330381544909.3044,gdp
1559033756285.1294,gdp
1692956646855.7017,gdp
1723827215334.7063,gdp
6650133914.547951,gdp
7375454614.280467,gdp
7823686765.350787,gdp
8447136819.839663,gdp
9249879078.757586,gdp
10081145818.076052,gdp
10982543233.368248,gdp
11680319624.67278,gdp
12549016578.695044,gdp
13701141219.245855,gdp
15373005557.02567,gdp
17858486066.747437,gdp
22059612476.93315,gdp
29515467706.79598,gdp
35189299911.660774,gdp
40059206763.056015,gdp
42959976221.52335,gdp
51545758887.68629,gdp
62052259073.24932,gdp
73937296963.45857,gdp
82058912997.23463,gdp
71034228443.06204,gdp
71275287569.57329,gdp
72121016546.65237,gdp
67985344886.871605,gdp
69386774408.08725,gdp
99036164939.1618,gdp
124168442533.73969,gdp
133339397080.12927,gdp
133105805512.22047,gdp
166463386179.35373,gdp
173794177961.10782,gdp
195078126721.7631,gdp
190379720809.18015,gdp
203535242741.83835,gdp
241038283062.64505,gdp
237250948791.26596,gdp
212790348404.5552,gdp
218259904401.9564,gdp
217259147049.95413,gdp
197289625479.9063,gdp
197508773215.3231,gdp
214394866675.2396,gdp
262273631180.05435,gdp
301457562038.5413,gdp
316092273276.01544,gdp
336280064332.4113,gdp
389185571506.05225,gdp
432051935642.9452,gdp
401758735822.2107,gdp
392275107258.6674,gdp
431685217367.51056,gdp
409401816050.5313,gdp
430190979705.962,gdp
442584815286.03375,gdp
381971148530.5428,gdp
395837353031.499,gdp
417261151844.9772,gdp
454991174096.1016,gdp
444596155845.2542,gdp
435049316955.73663,gdp
479295362747.0466,gdp
470941926750.7412,gdp
516034144115.9503,gdp
8884848484.848484,gdp
5344000000.0,gdp
444658671.5867158,gdp
1570392598.1495376,gdp
1193141110.3504274,gdp
2417331192.9526043,gdp
3176507376.3183618,gdp
3962362387.479221,gdp
4446368570.690101,gdp
4581248566.501584,gdp
5272615722.968918,gdp
5707616203.720108,gdp
6236087738.282841,gdp
7276413079.114511,gdp
8680405740.941248,gdp
13245421880.834042,gdp
20981929497.618767,gdp
33049419431.224392,gdp
48851293785.44826,gdp
44292427184.94917,gdp
52909294791.92624,gdp
65952796427.94731,gdp
69679944504.19719,gdp
74160560123.69016,gdp
75239785452.10219,gdp
53076235354.74602,gdp
37866996882.915695,gdp
40866627351.98167,gdp
47112470051.77007,gdp
48174235294.117645,gdp
42693000000.0,gdp
54825411764.70589,gdp
78807470588.2353,gdp
72356176470.58824,gdp
169803921.56862745,gdp
190098039.21568623,gdp
212254901.96078432,gdp
237745098.03921568,gdp
266666666.66666663,gdp
300392156.8627451,gdp
340000000.0,gdp
390196078.4313725,gdp
444901960.78431374,gdp
528137254.9019608,gdp
538423153.6926148,gdp
573400000.0,gdp
590900000.0,gdp
670900000.0,gdp
632400000.0,gdp
596200000.0,gdp
642100000.0,gdp
713000000.0,gdp
832400000.0,gdp
1139800100.0,gdp
1335300000.0,gdp
1426500000.0,gdp
1578300000.0,gdp
1732800000.0,gdp
2041100000.0,gdp
2320699900.0,gdp
2472500000.0,gdp
2713999900.0,gdp
2817900000.0,gdp
3062000000.0,gdp
3166000000.0,gdp
3111160000.0,gdp
3109000000.0,gdp
3092000000.0,gdp
3259000000.0,gdp
3429000000.0,gdp
3609000000.0,gdp
6332360000.0,gdp
6833220000.0,gdp
7683870000.0,gdp
8076470000.0,gdp
8317830000.0,gdp
8881160000.0,gdp
8870090000.0,gdp
9055290000.0,gdp
9836200000.0,gdp
10167250000.0,gdp
10618340000.0,gdp
10526000000.0,gdp
9981960000.0,gdp
10095760000.0,gdp
10070450000.0,gdp
10720500000.0,gdp
10395800000.0,gdp
10974100000.0,gdp
11671900000.0,gdp
11745100000.0,gdp
12236700000.0,gdp
12615800000.0,gdp
13016200000.0,gdp
9958200000.0,gdp
11368900000.0,gdp
13136400000.0,gdp
14338500000.0,gdp
391577364.829337,gdp
422181562.09903,gdp
534081183.5538125,gdp
761132544.6077071,gdp
1042176882.5478998,gdp
1099107600.2596838,gdp
1581709519.2985678,gdp
1989060283.1105783,gdp
2272042966.4425054,gdp
2710160740.2835917,gdp
3493834466.8394265,gdp
3943109531.7956114,gdp
4145421079.979628,gdp
4247030467.408351,gdp
4440874566.639973,gdp
4152376484.476224,gdp
3470746843.808431,gdp
3856922695.406995,gdp
4209834173.796064,gdp
4393093961.837181,gdp
